Direction Vector X,Direction Vector Y,Direction Vector Z
0.8298749,-0.36849582,0.41895196
0.82987493,-0.3684873,0.41895947
0.8298752,-0.36849,0.4189565
0.82987547,-0.3684952,0.41895127
0.8298755,-0.36849934,0.41894728
0.82987547,-0.3685002,0.41894662
0.8298756,-0.36850148,0.41894546
0.82987565,-0.3685054,0.41894206
0.82987577,-0.36850792,0.41893965
0.8298759,-0.3685072,0.41894034
0.82987565,-0.36850318,0.4189444
0.8298753,-0.368504,0.41894403
0.82987505,-0.36850566,0.41894257
0.8298751,-0.3685113,0.4189374
0.82987547,-0.36851883,0.41893008
0.8298755,-0.36851972,0.41892964
0.82987535,-0.368516,0.4189336
0.82987523,-0.3685176,0.41893244
0.8298748,-0.36851576,0.41893485
0.82987463,-0.36851546,0.4189352
0.82987493,-0.36851782,0.41893235
0.82987535,-0.3685274,0.41892293
0.82987523,-0.3685278,0.41892278
0.8298752,-0.36852488,0.4189259
0.82987505,-0.3685248,0.41892654
0.8298747,-0.36852494,0.41892707
0.82987446,-0.3685288,0.41892394
0.8298742,-0.3685326,0.41892114
0.8298745,-0.3685343,0.41891897
0.8298751,-0.3685359,0.41891667
