Time_UTCG_,Azimuth_deg_,Elevation_deg_,Range_km_,x_km_,y_km_,z_km_,vx_km_sec_,vy_km_sec_,vz_km_sec_,eci_x_m,eci_y_m,eci_z_m,obs_vector_x,obs_vector_y,obs_vector_z
1 Jan 2025 13:39:13.000,221.029,5.01,4075.753232,7606.881054,-1887.866875,677.786583,0.654544,4.572584,5.418353,926609.8202,-6283421.827,534454.9273,-0.653932986388322,-0.751495301712929,0.0873296101940437
1 Jan 2025 13:39:14.000,221.026,5.066,4070.29754,7607.532477,-1883.29352,683.204654,0.648309,4.57413,5.417794,926980.3124,-6283380.232,534301.4579,-0.653837298092872,-0.751464789068984,0.0883032185830123
1 Jan 2025 13:39:15.000,221.023,5.123,4064.842347,7608.177666,-1878.718622,688.622164,0.642074,4.575671,5.417231,927350.836,-6283338.606,534147.9875,-0.653739967400356,-0.751432374900762,0.0892941262031327
1 Jan 2025 13:39:16.000,221.021,5.179,4059.387661,7608.816619,-1874.142183,694.039108,0.635839,4.577209,5.416663,927721.3613,-6283296.954,533994.5285,-0.653656143350919,-0.751388989308095,0.0902675634221037
1 Jan 2025 13:39:17.000,221.018,5.235,4053.933487,7609.449336,-1869.564209,699.455482,0.629603,4.578743,5.416091,928091.8584,-6283255.277,533841.0931,-0.65355858518578,-0.751356287833902,0.091240914410263
1 Jan 2025 13:39:18.000,221.015,5.292,4048.479832,7610.075817,-1864.984703,704.871282,0.623366,4.580273,5.415514,928462.3572,-6283213.573,533687.6691,-0.653459351637557,-0.75132164591664,0.0922315571511933
1 Jan 2025 13:39:19.000,221.012,5.349,4043.026703,7610.696062,-1860.403668,710.286503,0.617129,4.5818,5.414933,928832.8874,-6283171.84,533534.2441,-0.653359476817924,-0.751286252049407,0.0932221086103748
1 Jan 2025 13:39:20.000,221.009,5.405,4037.574102,7611.310069,-1855.821109,715.70114,0.610892,4.583323,5.414347,929203.4193,-6283130.078,533380.8304,-0.653260039770276,-0.751251346899783,0.0941951921310159
1 Jan 2025 13:39:21.000,221.007,5.462,4032.122039,7611.917838,-1851.237029,721.11519,0.604654,4.584842,5.413757,929573.9528,-6283088.29,533227.428,-0.653172005283168,-0.751203062249648,0.0951855597300174
1 Jan 2025 13:39:22.000,221.004,5.519,4026.670518,7612.519369,-1846.651431,726.528647,0.598415,4.586357,5.413163,929944.4581,-6283046.478,533074.0493,-0.65307021833292,-0.751165427219302,0.0961758331236882
1 Jan 2025 13:39:23.000,221.001,5.576,4021.219547,7613.114662,-1842.06432,731.941508,0.592176,4.587869,5.412564,930314.965,-6283004.639,532920.682,-0.652967790808765,-0.751127040125809,0.0971660113319527
1 Jan 2025 13:39:24.000,220.998,5.633,4015.769133,7613.703715,-1837.4757,737.353768,0.585937,4.589376,5.41196,930685.5035,-6282962.77,532767.3136,-0.65286472289055,-0.751087900939987,0.0981560933748297
1 Jan 2025 13:39:25.000,220.995,5.69,4010.31928,7614.286529,-1832.885573,742.765422,0.579697,4.59088,5.411353,931056.0435,-6282920.874,532613.9566,-0.652761014758761,-0.751048009633412,0.0991460782724331
1 Jan 2025 13:39:26.000,220.992,5.748,4004.869994,7614.863102,-1828.293945,748.176466,0.573457,4.59238,5.41074,931426.5553,-6282878.953,532460.6233,-0.652655520083422,-0.751006046896292,0.100153330597851
1 Jan 2025 13:39:27.000,220.989,5.805,3999.421284,7615.433435,-1823.700818,753.586895,0.567216,4.593877,5.410124,931797.0688,-6282837.006,532307.3013,-0.652550520806612,-0.750964638166141,0.10114311651821
1 Jan 2025 13:39:28.000,220.987,5.862,3993.973154,7615.997527,-1819.106197,758.996705,0.560975,4.59537,5.409502,932167.6138,-6282795.028,532153.9783,-0.652457987834284,-0.750911089808922,0.102132802337034
