sample,x_km_pred,x_km_true,y_km_pred,y_km_true,z_km_pred,z_km_true,vx_km/s_pred,vx_km/s_true,vy_km/s_pred,vy_km/s_true,vz_km/s_pred,vz_km/s_true
0,-5464.079,-5498.8623,4608.803,4539.027,3370.9814,3323.7922,-4.919881,-4.849105,-2.5041003,-2.5470319,-4.545185,-4.5471067
1,-5469.164,-5503.709,4606.5947,4536.478,3366.5688,3319.244,-4.915715,-4.8446,-2.508035,-2.5507483,-4.548011,-4.5498314
2,-5474.2495,-5508.552,4604.379,4533.9253,3362.1504,3314.6926,-4.911542,-4.840092,-2.5119689,-2.554461,-4.550835,-4.552554
3,-5479.3267,-5513.3896,4602.1587,4531.369,3357.731,3310.1387,-4.907365,-4.835579,-2.5158973,-2.5581727,-4.5536537,-4.555272
4,-5484.4067,-5518.2227,4599.9297,4528.809,3353.3047,3305.582,-4.903178,-4.831063,-2.519829,-2.561882,-4.556472,-4.5579853
5,-5489.4795,-5523.052,4597.6953,4526.2456,3348.876,3301.0227,-4.898987,-4.826542,-2.5237565,-2.565589,-4.5592833,-4.5606966
6,-5494.55,-5527.876,4595.455,4523.6777,3344.4424,3296.4607,-4.8947887,-4.822018,-2.5276814,-2.569294,-4.562094,-4.563404
7,-5499.6143,-5532.6953,4593.2085,4521.107,3340.008,3291.896,-4.8905845,-4.81749,-2.531605,-2.572998,-4.564899,-4.566107
8,-5504.674,-5537.5107,4590.9546,4518.5317,3335.5703,3287.3286,-4.8863754,-4.812957,-2.5355258,-2.5766978,-4.5676994,-4.5688057
9,-5509.733,-5542.3213,4588.695,4515.9536,3331.1255,3282.7583,-4.8821573,-4.808421,-2.539446,-2.5803971,-4.5704994,-4.5715017
10,-5514.786,-5547.128,4586.428,4513.371,3326.6787,3278.1855,-4.8779345,-4.803881,-2.5433643,-2.584094,-4.5732927,-4.574194
11,-5519.832,-5551.9297,4584.1553,4510.785,3322.2305,3273.6099,-4.873708,-4.799337,-2.5472796,-2.587789,-4.5760813,-4.5768814
12,-5524.8794,-5556.7266,4581.876,4508.196,3317.776,3269.0317,-4.8694715,-4.794789,-2.551196,-2.5914807,-4.5788693,-4.579566
13,-5529.923,-5561.5186,4579.589,4505.602,3313.318,3264.451,-4.8652287,-4.790237,-2.555111,-2.595172,-4.581652,-4.582247
14,-5534.959,-5566.3066,4577.299,4503.0054,3308.859,3259.8672,-4.860983,-4.785681,-2.5590215,-2.5988603,-4.5844307,-4.5849237
15,-5539.9917,-5571.09,4575.001,4500.405,3304.3955,3255.281,-4.8567305,-4.781121,-2.562929,-2.6025462,-4.5872054,-4.587597
16,-5545.0215,-5575.869,4572.6973,4497.8003,3299.9282,3250.6921,-4.8524714,-4.776557,-2.5668359,-2.6062303,-4.589977,-4.590266
17,-5550.0435,-5580.6436,4570.389,4495.192,3295.4612,3246.1003,-4.848209,-4.771989,-2.570738,-2.609912,-4.592743,-4.5929317
18,-5555.0615,-5585.413,4568.075,4492.5806,3290.9883,3241.506,-4.84394,-4.767418,-2.5746393,-2.6135917,-4.5955048,-4.5955935
19,-5560.0767,-5590.177,4565.756,4489.965,3286.5132,3236.9092,-4.8396654,-4.762842,-2.5785375,-2.61727,-4.5982637,-4.5982513
20,-5565.087,-5594.9385,4563.4297,4487.3457,3282.0317,3232.3098,-4.8353825,-4.758263,-2.582431,-2.620945,-4.60102,-4.6009054
21,-5570.09,-5599.6943,4561.1,4484.723,3277.5479,3227.7075,-4.8310957,-4.753679,-2.5863218,-2.624619,-4.603771,-4.6035557
22,-5575.091,-5604.4463,4558.7627,4482.0967,3273.061,3223.1025,-4.8268023,-4.749092,-2.5902107,-2.6282897,-4.60652,-4.606203
23,-5580.0845,-5609.1924,4556.4214,4479.4663,3268.5715,3218.495,-4.822504,-4.744501,-2.5940957,-2.631959,-4.6092625,-4.6088457
24,-5585.076,-5613.9346,4554.073,4476.8325,3264.0784,3213.885,-4.8182,-4.739905,-2.5979786,-2.6356263,-4.612004,-4.6114855
25,-5590.059,-5618.673,4551.721,4474.1953,3259.5847,3209.2722,-4.8138933,-4.735306,-2.6018577,-2.6392913,-4.614738,-4.6141205
26,-5595.0303,-5623.4053,4549.334,4471.554,3255.121,3204.6567,-4.8095875,-4.730704,-2.6057284,-2.6429543,-4.617467,-4.6167526
27,-5600.007,-5628.134,4546.964,4468.909,3250.6226,3200.0386,-4.805266,-4.726097,-2.609603,-2.646614,-4.6201963,-4.619381
28,-5604.976,-5632.8574,4544.5957,4466.2607,3246.1208,3195.418,-4.800944,-4.721486,-2.613473,-2.6502728,-4.6229186,-4.6220045
29,-5609.9062,-5637.577,4542.106,4463.609,3241.6934,3190.7947,-4.7966166,-4.716872,-2.61735,-2.6539292,-4.6255636,-4.624625
30,-5614.87,-5642.292,4539.7236,4460.953,3237.1836,3186.1687,-4.7922807,-4.712253,-2.621219,-2.6575828,-4.628279,-4.627242
31,-5619.825,-5647.002,4537.336,4458.2935,3232.6743,3181.54,-4.7879424,-4.707631,-2.6250806,-2.6612353,-4.630988,-4.629854
32,-5624.777,-5651.707,4534.944,4455.6304,3228.1594,3176.909,-4.783597,-4.703005,-2.6289427,-2.664885,-4.633695,-4.6324625
33,-5629.7275,-5656.407,4532.546,4452.964,3223.6396,3172.2751,-4.779245,-4.698375,-2.6328037,-2.668532,-4.6363993,-4.635068
34,-5634.6704,-5661.1035,4530.142,4450.2935,3219.1191,3167.639,-4.7748885,-4.693741,-2.6366608,-2.6721778,-4.639097,-4.6376696
35,-5639.6094,-5665.795,4527.7334,4447.6196,3214.5957,3162.9998,-4.770528,-4.689103,-2.6405158,-2.6758208,-4.6417923,-4.6402664
36,-5644.4375,-5670.4814,4525.464,4444.942,3209.9736,3158.3584,-4.766152,-4.684461,-2.6442764,-2.679462,-4.644487,-4.6428604
37,-5649.379,-5675.163,4523.0273,4442.2607,3205.4385,3153.714,-4.761769,-4.679816,-2.6481392,-2.6831012,-4.6471715,-4.6454506
38,-5654.306,-5679.842,4520.6113,4439.5757,3200.9043,3149.0674,-4.7573915,-4.675166,-2.6519797,-2.686738,-4.649867,-4.648037
39,-5659.225,-5684.5137,4518.1807,4436.887,3196.3723,3144.418,-4.753011,-4.670513,-2.655822,-2.690372,-4.652545,-4.6506195
40,-5664.1445,-5689.1826,4515.743,4434.195,3191.8315,3139.766,-4.748621,-4.665856,-2.659666,-2.694004,-4.6552224,-4.6531973
